,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
900018,-3,1,1963,-3,3,-3,,,,,,,,,,,,,,,,,,-3
900021,38,1,-2,26,9,-3,4,0,3,3,0,2,8,2,-2,2,6,4,-2,0,6,1,4,3
900024,39,2,-2,64,3,70,,,,,,,,,,,,,,,,,,-2
900026,39,1,-2,49,4,250,5,5,6,2,5,6,6,3,-2,1,6,4,-2,0,3,3,3,4
900034,38,1,-2,34,2,75,,-2,,1,-2,,-2,4,-2,1,-2,,,,,,2,-2
900035,39,1,-2,31,3,0,,,,2,,2,,,,,,,,,,,,-2
900042,39,1,-2,63,3,136,5,0,12,1,0,2,8,2,-2,4,8,4,-2,7,6,3,3,-2
900043,38,1,-2,84,9,200,,-2,,1,7,1,9,1,-2,8,10,5,-2,10,5,1,2,-2
900054,39,1,2005,89,4,247,5,0,3,2,0,3,6,,,,,,,,,,,-2
900069,39,1,-2,100,8,110,5,0,2,1,0,6,8,2,-2,4,6,5,-2,24,9,1,3,3
900071,-3,1,-2,-3,9,-3,,,,,,,,,,,,,,,,,,-3
900074,39,2,1994,26,6,0,,-2,,,,,,,,,,,,,,,,-2
900075,39,2,-2,20,4,0,5,0,2,2,0,0,10,,,,,,,,,,,-2
900078,39,2,-2,68,7,14,4,-2,6,1,4,8,10,1,-2,16,9,3,-2,3,8,2,4,-2
900079,39,1,2014,28,2,50,3,0,2,2,0,0,6,3,-2,,10,,,,,,4,-2
900083,39,1,1999,56,5,130,4,-2,0,,,,,,,,,,,,,,,-2
900094,39,2,-2,56,4,-3,4,0,0,3,,1,,,,,,,,,,,,-2
900096,39,1,2017,91,9,300,5,0,1,2,0,,11,1,-2,4,4,,,,,,4,3
900101,39,2,-2,80,3,50,4,-2,6,2,-2,6,-2,-30,-30,4,-30,,,,,,2,-2
900106,39,1,-2,44,4,140,5,0,0,1,0,1,8,1,-2,0,7,,,,,,2,3
900115,39,2,2010,40,2,0,4,7,6,5,-2,,9,,,,,,,,,,,-2
900117,39,2,-2,-3,3,6,5,0,4,1,0,4,6,1,-2,4,6,5,0,2,5,1,2,-2
900126,39,1,2013,68,7,-3,,0,,3,0,10,7,3,-2,,0,,,,,,5,-2
900134,39,2,-2,14,2,155,,0,,1,0,2,2,3,-2,3,4,4,-2,4,4,1,1,2
900145,39,1,-2,31,2,135,4,0,1,1,0,1,10,2,5,2,5,4,-2,15,4,1,2,2
